index,panoid,lat,lon,year,month,img_path,ang_0,ang_90,ang_180,ang_270
9913,qaWHJ40Bwlxbw3J2q2RTWA,-1.204393017906684,36.72866835504851,2022.0,2.0,Q/a/,0.0,0.0,0.0,0.0
38295,qaWKSbnTJLZsvBKXiNJ8Cw,-1.349008686887895,36.74841751055485,2021.0,7.0,Q/a/,0.0,0.0,0.0,0.0
86510,qaWqOu7Ko-kKeYGV42zPUg,-1.248002540809331,36.7145555562459,2021.0,8.0,Q/a/,0.0,0.0,0.0,0.0
107719,qacCltoxe9fsIJY5Zwnfvg,-1.310410685748479,36.80201606653043,2018.0,3.0,Q/a/,0.86124337,0.0,0.0,0.0
98259,qaciiyt0gMvRzQYQ21q5kw,-1.320222559571474,36.71375037877014,2021.0,7.0,Q/a/,0.0,0.0,0.0,0.0
60000,qae1eOJolO23WcUH_xzEHw,-1.27547176504755,36.88196309273774,2022.0,5.0,Q/a/,0.0,0.0,0.0,0.78840286
10011,qaeh4tjKAsE08v6hpkSKRw,-1.284678845868347,36.82442650233574,2017.0,12.0,Q/a/,0.0,0.0,0.0,0.0
67471,qaenVrPER0q0mKQL3Ox91w,-1.282439503473525,37.01362221324529,2018.0,2.0,Q/a/,0.0,0.0,0.0,0.0
124002,qah7YrZ7sGF36bTgZUuGeA,-1.402006001562651,36.76246147823421,2022.0,2.0,Q/a/,0.0,0.0,0.0,0.0
48874,qahq_PHdEKjLAvOWPDhz6Q,-1.258382627688507,36.98671081543415,2018.0,2.0,Q/a/,0.0,0.0,0.7404013,0.0
73749,qanLWdWTUJU4Hyf-pkxHOw,-1.353059057771988,36.92668307680299,2021.0,8.0,Q/a/,0.0,0.0,0.0,0.0
18630,qaqdJM0cY2fYYx4Lb6ItYw,-1.159274760837697,36.94834010316043,2021.0,12.0,Q/a/,0.0,0.960502,0.61869967,0.0
123113,qatZStfdKC84v94w5FuKKA,-1.316552626448708,36.81327163091015,2018.0,1.0,Q/a/,0.0,0.0,0.0,0.0
58044,qawdQWrBSnw8j8GFZOaA7A,-1.189556429344525,36.94155314498941,2021.0,9.0,Q/a/,0.0,0.0,0.0,0.0
60515,qaxr6ucau_6tMFaluTfovQ,-1.327100839921961,36.773777310538,2018.0,1.0,Q/a/,0.6148769,0.0,0.0,0.0
81739,qb65CvKI6osjWT7VtV7wFw,-1.208455582402821,36.97047733297266,2021.0,9.0,Q/B/,0.0,0.0,0.0,0.84520525
27265,qb97dd0j2alx6Mca23D6Uw,-1.28994114530629,36.70994343624591,2018.0,2.0,Q/B/,0.0,0.0,0.0,0.75193554
102299,qb97dd0j2alx6Mca23D6Uw,-1.28994114530629,36.70994343624591,2018.0,2.0,Q/B/,0.0,0.0,0.0,0.75193554
74960,qbA-R7NSq0QnHqz_H_37Yw,-1.285230894593622,36.72941497714455,2018.0,2.0,Q/B/,0.68539774,0.0,0.0,0.0
19683,qbLCo0MZL1eGeOhQYXxgLg,-1.392043454183315,36.75652334324649,2022.0,2.0,Q/B/,0.0,0.0,0.0,0.0
125062,qbRKo69va-m2CaV4o44CSA,-1.234666111489416,36.77809656485089,2021.0,7.0,Q/B/,0.0,0.0,0.0,0.0
80525,qbRSKVyfI-T__JyX1LhxjQ,-1.216452878478274,36.6843980656453,2022.0,2.0,Q/B/,0.0,0.0,0.0,0.0
9633,qbRWqPaOTs6O7P_LL8OT6g,-1.209410459329493,36.86652394954285,2021.0,9.0,Q/B/,0.0,0.0,0.0,0.0
23096,qbYlBYhhZ-xpVPI1XSlTaA,-1.262187470982397,36.92478474317746,2018.0,2.0,Q/B/,0.0,0.0,0.0,0.0
73313,qbeGAD9GitYJdCwG0U1bkQ,-1.372412827354549,36.6511066743106,2018.0,4.0,Q/B/,0.0,0.0,0.0,0.0
92927,qbiasSPY7ifb4OsrAgKdOQ,-1.263647757418623,36.80942765072172,2021.0,8.0,Q/B/,0.0,0.0,0.0,0.0
81550,qbm7gdZsiJWRRkpJt_sRuQ,-1.21545430112349,36.96748825886566,2021.0,9.0,Q/B/,0.0,0.0,0.0,0.0
16950,qbmAsw3OH31DW7e5Wsja8w,-1.274445180051944,36.70963189292021,2021.0,8.0,Q/B/,0.0,0.0,0.62219954,0.0
36195,qbpEVB8xxlfOTm3D-VrFEA,-1.25382701658045,36.80562438631855,2021.0,8.0,Q/B/,0.0,0.0,0.0,0.0
36193,qbpEVB8xxlfOTm3D-VrFEA,-1.25382701658045,36.80562438631855,2021.0,8.0,Q/B/,0.0,0.0,0.0,0.0
109153,qbuF4-hSOd2iAVhptUNpoA,-1.259058139006925,36.8142799545484,2017.0,12.0,Q/B/,0.0,0.0,0.0,0.0
109152,qbuF4-hSOd2iAVhptUNpoA,-1.259058139006925,36.8142799545484,2017.0,12.0,Q/B/,0.0,0.0,0.0,0.0
55860,qbvJD-Hwkm7Eq3lGzuMQvw,-1.287765719198877,36.82053808814772,2021.0,8.0,Q/B/,0.0,0.0,0.0,0.0
12746,qbzTwmRH1skw1_djnW--wQ,-1.31756145442407,36.67173769718153,2021.0,7.0,Q/B/,0.0,0.0,0.0,0.0
59755,qc2g9K5q9BwnRfE36S_t0g,-1.156458830864792,36.80145077424916,2022.0,2.0,Q/C/,0.0,0.0,0.0,0.0
103590,qc66m17wjYUPVFj2yTy33A,-1.258475732723291,36.97902841637684,2021.0,8.0,Q/C/,0.0,0.0,0.7486639,0.0
56334,qcAwP-o0_eo9_mEi8ackMw,-1.319441542025632,36.83842574120683,2021.0,10.0,Q/C/,0.71768206,0.0,0.0,0.0
