panoid,lat,lon,year,month,img_path,angle,type,img_name
IMG_7815,-1.3127305555555555,36.87069722222223,2023,2,Used/,,Self,IMG_7815
IMG_7342,-1.289597222222222,36.79810555555555,2023,2,Used/,,Self,IMG_7342
IMG_8071,-1.2948694444444444,36.813538888888885,2023,2,Used/,,Self,IMG_8071
IMG_8717,-1.2192833333333335,36.662952777777775,2023,2,Used/,,Self,IMG_8717
IMG_8703,-1.239988888888889,36.665725,2023,2,Used/,,Self,IMG_8703
IMG_7356,-1.2939305555555554,36.79987222222222,2023,2,Used/,,Self,IMG_7356
IMG_8065,-1.295436111111111,36.80943611111111,2023,2,Used/,,Self,IMG_8065
IMG_8059,-1.2970805555555551,36.80679444444444,2023,2,Used/,,Self,IMG_8059
IMG_7381,-1.2977638888888887,36.80304444444444,2023,2,Used/,,Self,IMG_7381
IMG_7395,-1.2983333333333331,36.80111111111111,2023,2,Used/,,Self,IMG_7395
IMG_7236,-1.2787694444444444,36.803825,2023,2,Used/,,Self,IMG_7236
IMG_8105,-1.3179277777777778,36.835794444444446,2023,2,Used/,,Self,IMG_8105
IMG_8663,-1.308652777777778,36.72634722222222,2023,2,Used/,,Self,IMG_8663
IMG_8677,-1.288186111111111,36.68273611111111,2023,2,Used/,,Self,IMG_8677
IMG_7222,-1.2795138888888888,36.806955555555554,2023,2,Used/,,Self,IMG_7222
IMG_8111,-1.3215472222222222,36.84203611111111,2023,2,Used/,,Self,IMG_8111
IMG_8139,-1.3296083333333333,36.87215555555556,2023,2,Used/,,Self,IMG_8139
IMG_6869,-1.3343972222222222,36.77933055555555,2023,2,Used/,,Self,IMG_6869
IMG_8688,-1.2714694444444443,36.662752777777776,2023,2,Used/,,Self,IMG_8688
IMG_8461,-1.2822055555555556,37.06131388888888,2023,2,Used/,,Self,IMG_8461
IMG_8307,-1.264113888888889,36.982594444444445,2023,2,Used/,,Self,IMG_8307
IMG_7034,-1.3159361111111112,36.788783333333335,2023,2,Used/,,Self,IMG_7034
IMG_8313,-1.2645277777777777,36.98430555555556,2023,2,Used/,,Self,IMG_8313
IMG_7020,-1.3374194444444445,36.77393611111111,2023,2,Used/,,Self,IMG_7020
IMG_6458,-1.3090416666666669,36.782694444444445,2023,2,Used/,,Self,IMG_6458
IMG_8475,-1.2796999999999998,37.04845833333333,2023,2,Used/,,Self,IMG_8475
IMG_7746,-1.3149111111111111,36.87208055555556,2023,2,Used/,,Self,IMG_7746
IMG_6470,-1.3066111111111112,36.78337222222222,2023,2,Used/,,Self,IMG_6470
IMG_7008,-1.342275,36.76730555555555,2023,2,Used/,,Self,IMG_7008
IMG_0767,-1.343511111111111,36.766533333333335,2023,2,Used/,,Self,IMG_0767
IMG_6316,-1.2336583333333333,36.80325277777777,2023,2,Used/,,Self,IMG_6316
IMG_0773,-1.347247222222222,36.76517222222222,2023,2,Used/,,Self,IMG_0773
IMG_6302,-1.2522055555555556,36.82864722222222,2023,2,Used/,,Self,IMG_6302
IMG_6464,-1.3069388888888889,36.78382222222222,2023,2,Used/,,Self,IMG_6464
IMG_8449,-1.2797611111111111,37.04963611111111,2023,2,Used/,,Self,IMG_8449
IMG_7791,-1.3132666666666668,36.87263611111111,2023,2,Used/,,Self,IMG_7791
IMG_0798,-1.365313888888889,36.76649722222222,2023,2,Used/,,Self,IMG_0798
IMG_8488,-1.2784555555555557,37.036544444444445,2023,2,Used/,,Self,IMG_8488
IMG_7793,-1.3132555555555556,36.8726,2023,2,Used/,,Self,IMG_7793
IMG_6499,-1.3062027777777778,36.787052777777774,2023,2,Used/,,Self,IMG_6499
IMG_6314,-1.2404611111111112,36.81297222222222,2023,2,Used/,,Self,IMG_6314
IMG_0765,-1.3425333333333334,36.76698611111111,2023,2,Used/,,Self,IMG_0765
IMG_8339,-1.2676888888888889,36.99104444444445,2023,2,Used/,,Self,IMG_8339
IMG_6472,-1.3064,36.78366388888889,2023,2,Used/,,Self,IMG_6472
IMG_6466,-1.3068222222222223,36.78303888888889,2023,2,Used/,,Self,IMG_6466
IMG_6300,-1.2555305555555556,36.83241944444445,2023,2,Used/,,Self,IMG_6300
IMG_0771,-1.3460527777777778,36.76558888888889,2023,2,Used/,,Self,IMG_0771
IMG_6328,-1.2329305555555556,36.80314722222222,2023,2,Used/,,Self,IMG_6328
IMG_0759,-1.3420555555555556,36.76299722222223,2023,2,Used/,,Self,IMG_0759
IMG_8305,-1.264775,36.982108333333336,2023,2,Used/,,Self,IMG_8305
IMG_7036,-1.3155444444444444,36.78909444444445,2023,2,Used/,,Self,IMG_7036
IMG_8463,-1.2825305555555555,37.062977777777775,2023,2,Used/,,Self,IMG_8463
IMG_8477,-1.2794027777777777,37.04583333333333,2023,2,Used/,,Self,IMG_8477
IMG_7744,-1.314661111111111,36.87193611111111,2023,2,Used/,,Self,IMG_7744
IMG_8311,-1.2643694444444444,36.98368611111111,2023,2,Used/,,Self,IMG_8311
