panoid,lat,lon,year,month,ang_0,ang_90,ang_180,ang_270,img_path
-5Y5zdq16x-HzLRgOhXnJg,-1.259340672537545,36.96990046480116,2021.0,8.0,0.0,0.0,0.0,0.0,-/5/
-5ayCMkTQAoMGINfhZ2U_A,-1.248275388404749,36.87142962911921,2018.0,2.0,0.0,0.34033027,0.0,0.34771702,-/5/
-5dIX7mL0ME6_0OARAef9g,-1.494897188109099,36.93888568659679,2022.0,3.0,0.0,0.0,0.0,0.0,-/5/
-5erp9koWw_xyY8EMAokqg,-1.261452344771568,36.9827836156302,2018.0,2.0,0.0,0.0,0.0,0.0,-/5/
-5gSHl2UL09T7DkRQ5Pc9w,-1.304158104578168,36.77048596004217,2021.0,7.0,0.0,0.0,0.36622584,0.29151723,-/5/
-5m9qNv5EihUKMPVqx120w,-1.245491535776509,36.86791655220802,2021.0,7.0,0.0,0.0,0.4668886,0.0,-/5/
-5md2C85wKqG7S9JHSlDIg,-1.480865491568337,36.96296096664749,2022.0,3.0,0.0,0.0,0.0,0.0,-/5/
-5oJjX7RO6PC4GMvsTHlig,-1.230744578563689,36.93262022982321,2021.0,9.0,0.0,0.0,0.0,0.0,-/5/
-5pyD7hnay0Zhq1OnhIA6Q,-1.211634471754136,36.90564871811262,2021.0,12.0,0.0,0.0,0.35318753,0.0,-/5/
-5rkBz5zh2RX_BQ8ktc-uA,-1.285329767923375,36.80999666112974,2021.0,9.0,0.0,0.0,0.0,0.0,-/5/
-5sM9w1-PcmjFoOgluCD_A,-1.283935473843625,36.9540976543094,2021.0,8.0,0.0,0.0,0.0,0.0,-/5/
