panoid,lat,lon,year,month,img_path,angle,value
HUyPwV6EYIVDvn816WM-Ug,-1.208081394100872,36.87176577440327,2018.0,2.0,H/U/,0,0.61918694
HcHOtWSZJtC9u2npiQO5KA,-1.144005232610676,36.79363623371476,2022.0,2.0,H/C/,0,0.64980096
HrR8Jo4ZG36rQpjVCotpXQ,-1.376727262042939,36.92102443244833,2021.0,8.0,H/r/,0,0.65825623
IDpUJqJwzA6pixyj5e37Xg,-1.352766259485721,36.73633440377526,2021.0,7.0,i/d/,0,0.67673475
IQyVd5ppk_1GWRC3gucgpw,-1.225496193069236,36.89941233985166,2021.0,7.0,i/Q/,0,0.6171418
IRuo7NHse8kmpCz5KVWGGQ,-1.206377887934373,36.78130744453267,2021.0,7.0,i/r/,0,0.64399254
IXfc201tiiPI5zoD8EOY9Q,-1.293971708121512,36.77833352064643,2017.0,12.0,i/x/,0,0.61196053
IYsJXX6CIDdl7kMg_bqIMQ,-1.16577418462836,36.93498519640966,2021.0,12.0,i/y/,0,0.6995592
IYzH95I1Bj6LQYOXcOt2Bg,-1.460337655825718,36.94407601225895,2022.0,3.0,i/y/,0,0.7019412
IiNAdCkJUlQwf_uA8rZR_Q,-1.227389204946155,36.89234757894692,2021.0,9.0,i/i/,0,0.7123385
Iomydg6HEcOKOyeoBgUjog,-1.295964797458359,37.06646895576154,2021.0,10.0,i/O/,0,0.7072971
Iw--bXANtEd-A557b3wmfw,-1.145539280388173,36.95904396816128,2021.0,9.0,i/w/,0,0.6164569
Iy00c_PrrfAnchMmSXx1PQ,-1.152894105345019,36.9736362960888,2018.0,5.0,i/y/,0,0.6168538
J-fmmqIfnH5B5lTKdKgFMw,-1.254865594911294,36.89219149383128,2018.0,2.0,j/-/,0,0.60982335
JBqNSFm4k_YIY-q8knfZfg,-1.3507022166512,36.69059763469897,2018.0,4.0,j/B/,0,0.6007817
JE4DgdggynGJyvcwWsh36g,-1.320456774204395,36.89799538841703,2021.0,7.0,j/e/,0,0.64448994
JKIygBDThv4ywt2SNfyP5Q,-1.213051093389222,36.85702056353315,2021.0,8.0,j/K/,0,0.7358729
JT7U7-NfNFidptu3cSH9rw,-1.257967230884667,36.85982301473442,2021.0,7.0,j/t/,0,0.64076066
JUIGTILLRcRNcAkQUk6dwQ,-1.177417274098204,36.75558502014314,2022.0,2.0,j/U/,0,0.6976818
JXLzFeHu5zS9kFUcxJR_vw,-1.373678628263549,36.76927827835525,2021.0,7.0,j/x/,0,0.62754405
Jbc1xRIg_sIeegCTlL-THQ,-1.255457084703265,36.86608508214704,2017.0,12.0,j/B/,0,0.6642126
JobSHy3u4Gu6fNfuAwsqrw,-1.288477880830524,36.84641126800447,2018.0,1.0,j/O/,0,0.6649154
JwajytGa3OptyQtHjUTLFw,-1.210775643745329,36.88639526556074,2021.0,11.0,j/w/,0,0.6233818
JzpSkfWptvnAcbaNs3j8Yg,-1.25167148515382,36.77814209855899,2017.0,12.0,j/Z/,0,0.63802624
K2vtZllPTVfx_CoTxIWI5A,-1.347279113677626,36.67682575642979,2018.0,4.0,K/2/,0,0.62719584
K9rJxQGSZ7MIwCZ6KUC1bA,-1.300134756421393,36.78749375046542,2018.0,1.0,K/9/,0,0.757172
KMqa19yrtOXvgR43OUVjUw,-1.272266816719481,36.87745374351466,2021.0,10.0,K/m/,0,0.6286783
K_ZL_w8euK1yJ3ugXhOLCw,-1.249411523396202,36.71947905809986,2021.0,8.0,K/_/,0,0.60613686
Kc-rQgs7yQnMGNmQIhooAQ,-1.231740721171106,36.92565045437487,2021.0,7.0,K/C/,0,0.6709318
KleLuw9ZsFNl_Ehrhi7FZA,-1.307920672418106,36.82500755369156,2018.0,2.0,K/L/,0,0.65452784
KmA3HCm3zndQ-cW_4Vt9Vw,-1.266604737247686,36.65468009715278,2021.0,8.0,K/m/,0,0.6015346
LWDhgWWQquqnlRsA9dgl5A,-1.310669619896473,36.67214454728009,2021.0,8.0,L/w/,0,0.6255114
LWuBYYwbjU-OiRRqznjEtA,-1.222819155826881,36.84358375319177,2021.0,7.0,L/w/,0,0.8367154
La_7ztckWNGS9JvNC_ei5A,-1.134774533629656,36.97386991752883,2021.0,9.0,L/a/,0,0.60692173
LcxiijEum8iJlZ_J65of5A,-1.23134722431465,36.89422574433679,2021.0,9.0,L/C/,0,0.6121367
LgFqsTlxi4tVSlBnoXKgSQ,-1.289985778056299,36.90192533458936,2021.0,7.0,L/g/,0,0.6053526
M2dwa7vqByWyEPpVI2I2kw,-1.170780029149501,36.92898294509073,2018.0,2.0,m/2/,0,0.62588024
M3fIioeoubGXBYbMAFKzTA,-1.253726382959806,36.98408426374502,2021.0,8.0,m/3/,0,0.6146484
M3sWg08akffMoTWtofY6-w,-1.255032290137112,36.7275355773218,2021.0,8.0,m/3/,0,0.6948201
M4qXBF3URolPXwunrqeK-w,-1.207393298522848,36.76561072464764,2021.0,7.0,m/4/,0,0.6296454
M6A-xzn7qdP_59IlG6GxsQ,-1.213269253264139,36.9303691142254,2021.0,9.0,m/6/,0,0.6585081
M8b_SeG1DFm-IiRtTD-AGg,-1.383197840007934,36.93064790329937,2021.0,8.0,m/8/,0,0.61322796
MpjhEIGprcqeR0Uto7voVA,-1.282876393893301,36.78085007096671,2017.0,12.0,m/P/,0,0.6259782
MuRqcV-hbHK49QKhDOXDaA,-1.31430944054548,36.88826627907098,2018.0,4.0,m/U/,0,0.7017536
MvAyHIRvgginvA1Kzg8w3g,-1.291327448941755,36.80990555074838,2021.0,9.0,m/v/,0,0.62159723
MxgRA1bugoWZ_vF4EaS2Wg,-1.26854692428683,36.67098424082477,2021.0,10.0,m/x/,0,0.62445885
N3cue1lX4aJ-S2LY4zacrg,-1.263648129099978,36.84653706784444,2018.0,2.0,N/3/,0,0.6771701
NEaXTBvfpvJ_4JHs3ZOiTQ,-1.199483588494123,36.91128008031734,2018.0,2.0,N/e/,0,0.75134915
NQJAIb5Sa3EvhPEonqdTtg,-1.277864629561514,37.03087568680786,2021.0,10.0,N/Q/,0,0.619716
NR5YkLskYDCtcHJupyxCpw,-1.260178459389142,36.78204400317401,2021.0,11.0,N/r/,0,0.65270746
NTQwlYsNVvypnfd9wTmjjw,-1.157221115645942,36.63643231138084,2021.0,10.0,N/t/,0,0.62935024
NWkYWoRfQganwViv8CZoUg,-1.256251992955111,36.8058123687313,2021.0,8.0,N/w/,0,0.63809234
NZbmBR32HHrwlhXK68MyCA,-1.266873237658332,36.76731160238103,2017.0,12.0,N/Z/,0,0.60581934
NdvrHy8DBH1JwZN8LkffaQ,-1.466260357554557,36.93923407074251,2022.0,3.0,N/d/,0,0.61140305
NhUGZQrcMADsl5DZK9Hx0A,-1.17104039335739,36.94605871955878,2022.0,4.0,N/H/,0,0.61846024
Nm2MoQk8Al2jtnLsZE1Izg,-1.340450157117774,36.73044755350055,2021.0,7.0,N/m/,0,0.7589823
NzJBEObKwPgmBQqD39rqsQ,-1.244475262322117,36.87074214771695,2021.0,7.0,N/Z/,0,0.6581249
Nzns3i1w7J0PPLuD0tvV3g,-1.231180064216113,36.79759492189535,2018.0,2.0,N/Z/,0,0.63504773
O0hc43daSEaEyUlMQAKXfw,-1.273271873690752,36.79191607426728,2021.0,9.0,O/0/,0,0.69306475
