panoid,lat,lon,year,month,_0,_90,_180,_270,img_path
99kEU1F68kd2lIDZYjhvow,-1.299955219800756,36.78204868780158,2018.0,1.0,9077.0,0.0,23056.0,0.0,9/9/
fkicLGL-YNwiW20-WCBRkA,-1.299967200511797,36.78149606407506,2021.0,8.0,0.0,0.0,4844.0,0.0,f/K/
Vb8-FvLHLmtBFTjrbTxjlg,-1.300024325556081,36.78101009039558,2018.0,3.0,5616.0,0.0,35942.0,8169.0,v/B/
N60ve-MGAXOt0fkzDdeZKA,-1.300033098541562,36.78049970364413,2021.0,8.0,0.0,0.0,0.0,0.0,N/6/
VU3gZem9RRhS0rIyv4CYZw,-1.298237008595155,36.79830116258781,2018.0,3.0,0.0,0.0,0.0,4682.0,v/U/
Yjh5nXxLLQ0PxEHuTyor0A,-1.297742049671454,36.79819713733183,2018.0,3.0,0.0,0.0,0.0,0.0,y/j/
up4GTzvOTmyJcjUc2QMohw,-1.316585328167974,36.82987731357218,2021.0,7.0,0.0,0.0,0.0,5699.0,U/P/
r2SpWxTNZhldGeS9KchDbw,-1.316489710567256,36.82939083663774,2021.0,7.0,0.0,0.0,4464.0,0.0,r/2/
3IDJrvYR-eMQ602eq5QZSw,-1.316381500942573,36.82884661602563,2021.0,7.0,35367.0,0.0,0.0,0.0,3/i/
dl0dgLPWH_BSTTwjO-CRmA,-1.316286595759986,36.82837031702807,2021.0,7.0,20220.0,0.0,0.0,0.0,d/L/
jlKex8upoJlF6adhDM1yqw,-1.316203295004688,36.82791594512365,2021.0,7.0,0.0,0.0,0.0,0.0,j/L/
MSH2vwJB057zk7eAozYZYg,-1.316098218716314,36.82734797630803,2021.0,7.0,0.0,0.0,0.0,0.0,m/s/
LTiDkiFmRb0nOsMLYmPh3w,-1.316008056019655,36.82687511737312,2021.0,7.0,18395.0,0.0,0.0,0.0,L/t/
lufKaOCkw4mTbQ9JUSjGaQ,-1.31592154213041,36.82645219476838,2021.0,7.0,0.0,14089.0,23172.0,0.0,L/U/
i5htLKca6kjXD5Q12j_AMg,-1.315816991965377,36.82589481044899,2021.0,7.0,35577.0,0.0,4854.0,0.0,i/5/
Vox1YnpBVybS3r3up3cljQ,-1.315738895198587,36.82542038157511,2021.0,7.0,0.0,0.0,15709.0,0.0,v/O/
HId5dunKrXOSKLG653fo4Q,-1.315657158969817,36.82491605113808,2021.0,7.0,4150.0,0.0,0.0,0.0,H/i/
h9Gd5d_zj-EeB_OoYMdaag,-1.315556772458252,36.82442683089307,2021.0,7.0,0.0,0.0,0.0,0.0,H/9/
6-9qlYpaguKMSrcWpzWIWA,-1.315383100023248,36.82389062338004,2021.0,7.0,0.0,0.0,24115.0,10227.0,6/-/
iWfELKZCmQctOY2vHhHRew,-1.315256620457703,36.82346981932051,2021.0,7.0,25062.0,0.0,38411.0,0.0,i/w/
tze0JfeHcb22-H83MCrTbg,-1.314945308815652,36.82318980217235,2021.0,7.0,0.0,35640.0,4542.0,51084.0,t/Z/
xDXlI9XqUu3wXZYZPa7Uyw,-1.314457397783453,36.82325888247688,2021.0,7.0,8248.0,43003.0,0.0,0.0,x/d/
fwdPwGrTKXE6O_MAeDjfgw,-1.313973826921043,36.82339696075149,2021.0,7.0,0.0,0.0,0.0,0.0,f/w/
-kf3ViiIctOBKF1mMXUX7w,-1.313528018455315,36.82355417746111,2021.0,7.0,0.0,42208.0,10337.0,0.0,-/K/
9zDPupNHgr5JsJ_AQzhrjg,-1.312994473139164,36.82370876535163,2021.0,7.0,0.0,29762.0,0.0,0.0,9/Z/
Zk2FT8rd3ZFAj0pe1W0LgA,-1.300138130191396,36.77809820866756,2021.0,8.0,0.0,0.0,0.0,0.0,Z/K/
Zply_q6xbSzd0Z0-rICTfA,-1.339587846160243,36.7473666835158,2018.0,1.0,0.0,0.0,29478.0,0.0,Z/P/
GRg87j_9rNFBRKVJ29sBQQ,-1.339132059979269,36.74743007890223,2018.0,1.0,17595.0,0.0,0.0,0.0,g/r/
8b9guacSj0BRDzoKL1Jk7A,-1.338621528142872,36.7474984899459,2018.0,1.0,14231.0,0.0,10871.0,6261.0,8/B/
TBg3s6NNoV_6QIPjR4qXBg,-1.338077648808553,36.74756139187149,2018.0,1.0,26308.0,25896.0,27054.0,0.0,t/B/
OU1z5TKTkeKINbeTMqAjaA,-1.33757901100263,36.74765405905556,2018.0,1.0,8931.0,0.0,27706.0,0.0,O/U/
lRCqaGCnr_M2DLpkHFWw7A,-1.337108984346715,36.74771465856232,2018.0,1.0,16313.0,0.0,12779.0,31572.0,L/r/
wY28paqFm0-fza3WzRme-g,-1.336646696647688,36.74778504273056,2018.0,1.0,0.0,9080.0,0.0,8812.0,w/y/
QG9yiEijnlS2czZOI5lPYQ,-1.336097512911057,36.74785772911459,2018.0,1.0,4310.0,0.0,0.0,0.0,Q/g/
e-EUCACVhxWqeTkd0JQflw,-1.335635760771362,36.74790846153727,2018.0,1.0,0.0,12119.0,34016.0,0.0,e/-/
3t4n5gtrCRq7aQKLmLWd9w,-1.335145917188019,36.74796240067146,2021.0,7.0,0.0,0.0,0.0,0.0,3/t/
